PF;CFF;NOMENCLATURA;UN;PRICE UNIT(U$)
CE2A124;K0481;BELLOWS ASSY;EA;575,66
C3311-21;17472;COVER BALL;EA;3016,47
C11MAO121-010;F1881;CASING LOWER;EA;4752,19
C3311-17;17472;NUT BODY;EA;21810,01
A9076;20832;WASHER;EA;22,01
A9135;17472;INSERT SLEEVE;EA;1794,05
11SM3;91929;SWITCH ASSY;EA;29,6
MS21916J6-5;81343;REDUCER;EA;63,37
L22196-30-12BCL;F6198;SCREW;EA;370,83
SA8460;17472;BEARING;EA;1378,86
99-4684-28;99167;PACKING;EA;10,82
HL2277-5-7;73197;PIN-COLLAR ASSEMBLY;EA;46,75
HL2277-6-12;73197;PIN COLLAR;EA;33,77
HS232-91-016;81982;PACKING;EA;46,04
NM85;F0214;INTERRUPTEUR;EA;4373,31
12592;F0189;ARRUELA;EA;2685,32
SA22052;K0481;HAIRSPRING;EA;52,59
SA9090;82152;RECEPTACLE;EA;889,16
SA9125;32255;SCREW;EA;75,73
12AX70;FB459;CLAMP,HOSE;EA;182,14
120-3048-00;22373;ICLM339;EA;10,27
13038;33252;VALVE;EA;350,61
133202;73760;ROTOR;EA;138585,8
16540;F6137;LEVEER;EA;6944,8
15025A;F0210;SHAFT;EA;2961,24
15191;F6137;BAGUE;EA;3553,48
23081-1130;31435;END BELL;EA;4572,36
3-1958-15;86768;PIVOT ARM;EA;245,59
25544;19527;BODY;EA;4630,66
4A-0003-10-08;S4956;CONNECTING PLATE;EA;5132,81
3240439;73474;SHAFT;EA;4395,26
3240784-8;73474;SPACER;EA;355,35
1003;3T949;LEFT FLAT GLASS;EA;4920,55
A3067-2;24692;BEARING,SLEEVE;EA;602,75
800419-00;53655;REGULATOR ASSY;EA;10902,65
99-4874;99167;SPRING;EA;145,69
MS24694-S51;80205;PARAFUSO;EA;6,07
MS3509-28;96906;CONJUNTO LUMIN;EA;721,05
B6245R303;72914;LIGHT DOME;EA;19291,12
14853;F5309;WASHER;EA;432,9
14929;F0216;CHEMISE;EA;789,35
MS25237A-327;96906;LAMP,INCANDESC;EA;30,11
15278;S4956;BUCHA;EA;2001,01
16045;AW25$;TAPERED PIN;EA;774,26
14629;F0189;PLACA REGULAG;EA;1152,28
14630;F0189;PIN ASSY;EA;2238,83
CE2A26;AW25$;LEAD SOCKET;EA;1627,57
LM412-38;76005;GASKET,ENGINE;EA;1702,72
178009;16827;OXYGEN MASK TOTE BAG;EA;2970,83
Z941-65101;98429;SPRING;EA;244,8
CE2A33;K0481;FILTER;EA;1582,98
171004;16827;GAUGE PRESSURE;EA;1438,27
632006-22;16827;PACKING;EA;52,43
M7928/5-3;81343;SPLICE,CONDUCTOR;EA;87,57
AN3-4A;1E0F1;BOLT,MACHINE;EA;4,4
38198;E834$;RETENTOR;EA;79,68
LL57G04S5;3038;SCREW,MACHINE;EA;73,75
MS24665-283;80205;PIN,COTTER;EA;6,94
980677;F6137;PIN,COTTER;EA;30,82
M5086-1-22-9;81349;WIRE,ELECTRICAL, COLOR WHITE, OUTSIDE DIA 0.068 (1/16) IN, 22 AWG, TEMP RATING 105.0 DEG CELSIUS;EA;1,03
56920;93835;GASKET;EA;342,2
8060103;93835;PACKING,PREFORMED;EA;61,85
AN960-8L;88044;WASHER,FLAT;EA;2,86
40348;83298;TRANSISTOR;EA;86,86
3001-86-450/160C-8M;25693;SENSING ELEMENT,FIRE DETECTOR SYSTEM;EA;100914,28
2523383;59501;CAM,CONTROL;EA;4580,52
